label,tweet,,
1,"Jade plant 🌱, happy world environmental day #environmentallyfriendly #jade #plants #gogreen #kota #kotanagarnigam… https://t.co/BRJok6bMdq",Delighted to see India's @MinOfPower making it easier to procure #renewableelectricity for businesses. RE100 has be… https://t.co/G3GYoYl4tj,theRE100
-1,"RT @divyeshjoshi78: Banning FEW ITEM is not solution, #recycling is\n\nurge to @GovernmentIndia @PMOIndia @BJP4India  @moefcc @minmsme @NITIA…",,
0,@CPMumbaiPolice @DGPAssamPolice @mayor_mumbai @GovernmentIndia @CMOMaharashtra # cp sir help us pls . Oshiwara st p… https://t.co/Iyj7uohait,,
-1,"RT @divyeshjoshi78: Banning FEW ITEM is not solution, #recycling is\n\nurge to @GovernmentIndia @PMOIndia @BJP4India  @moefcc @minmsme @NITIA…",,
-1,"Banning FEW ITEM is not solution, #recycling is\n\nurge to @GovernmentIndia @PMOIndia @BJP4India  @moefcc @minmsme… https://t.co/XfLl3gzw9H",,
1,RT @achviv: #WhyCallKejriwal in #Singapore to learn any model is a mystery \n\nNot long back he made a press conference to blabber some miss…,,
1,#WhyCallKejriwal in #Singapore to learn any model is a mystery \n\nNot long back he made a press conference to blabbe… https://t.co/62fVJkBp6l,,
1,RT @divyeshjoshi78: Why discrimination?\n\nSingle use plastic items is allowed for most of MNCs\nBan applies to items produced by small-MSME i…,,
0,"It's been days &amp; has any media house, journalist or even @DIRCO_ZA even asked the @GovernmentIndia @MEAIndia whethe… https://t.co/Yjr3RAAWk3",,
1,RT @divyeshjoshi78: Why discrimination?\n\nSingle use plastic items is allowed for most of MNCs\nBan applies to items produced by small-MSME i…,,
1,"Deputy Director General, National Informatics Centre, @GovernmentIndia at the @niveussolutions | @googlecloud prese… https://t.co/GZnyk4Iw5l",,
0,Where did Currency note Rs2000 go...???\n\nWhat if @GovernmentIndia bans it immediately ?? 😎\n\nPlease comment with below tag\n#Ban2000RsNote.,,
-1,By now the @GovernmentIndia must have acknowledged &amp; released an official statement about the #GuptaBrothers arrest… https://t.co/X0kowKWjlP,,
1,RT @divyeshjoshi78: Why discrimination?\n\nSingle use plastic items is allowed for most of MNCs\nBan applies to items produced by small-MSME i…,,
1,Why discrimination?\n\nSingle use plastic items is allowed for most of MNCs\nBan applies to items produced by small-MS… https://t.co/uUozcaEVZP,,
0,आर्थिक मदतीसाठी अर्ज कसा करायचा? घ्या जाणून\n#SarkariYojana #Financial #GovernmentIndia #GovernmentSchemes… https://t.co/551MuObMor,,
0,The @GovernmentIndia @MEAIndia @PMOIndia must have just disowned &amp; discarded two of their citizens and nationals at… https://t.co/EJL3JyNxu9,,
0,The @GovernmentIndia @MEAIndia must then have given the go-ahead for the UAE &amp; SA governments to do with their citi… https://t.co/JAVLGTtmTv,,
1,@Selvakumar_IN Chance for @GovernmentIndia  to teach them good lesson where even america failed.,,
0,Respected\nIm 12th student.Won 3 ChampionshipAward For India. Became India's 1stperson represnt country in World Cha… https://t.co/3XPNEgfYfp,,
0,What has the @GovernmentIndia @MEAIndia officially stated about this? Aren't they nationals &amp; citizens of India? https://t.co/DQ5x2jWKLR,,
1,@Riddlemethat14 The @GovernmentIndia @MEAIndia must surely acknowledge their two high profile nationals being detai… https://t.co/Jcy6pwVazU,,
1,Has the @GovernmentIndia @MEAIndia confirmed it as well? That two of their nationals having been detained &amp; arreste… https://t.co/8uGrYdO8Bz,,
0,Has the @GovernmentIndia confirm that two their nationals have been detained &amp; arrested by @DubaiPoliceHQ in UAE? 🤔 https://t.co/EKbkPgyoLt,,
0,"एक धर्म की बात पर भी सजा\nदूसरे धर्म को गाली दो तो एक्टिविस्ट\n\nकानून सबके लिए बराबर हो\n \nनिवेदन : \n\n\किसी भी धर्म के… https://t.co/dPOvSEYC2W""",,
0,"Has the @GovernmentIndia even released an official statement that two of their nationals, the #GuptaBrothers, have… https://t.co/jD86NdlxDV",,
-1,RT @divyeshjoshi78: Seriously?\nPaper straw in plastic wraps😃\nWhat a green movement @GovernmentIndia @PMOIndia @plasticfreein @swachhbharat…,,
-1,RT @divyeshjoshi78: Seriously?\nPaper straw in plastic wraps😃\nWhat a green movement @GovernmentIndia @PMOIndia @plasticfreein @swachhbharat…,,
-1,Seriously?\nPaper straw in plastic wraps😃\nWhat a green movement @GovernmentIndia @PMOIndia @plasticfreein… https://t.co/7CjNpkn9Pv,,
0,@Spain_India @VEGAYUBERO @berta_fuertes @EmbEspIndia @IndiainSpain @lochan_sehra @TrashConLabs @AMCommissioner… https://t.co/1WIfOKj8GW,,
0,RT @LenBaudelaire: @Spain_India @VEGAYUBERO @berta_fuertes @EmbEspIndia @IndiainSpain @lochan_sehra @TrashConLabs @AMCommissioner @Governme…,,
0,@Spain_India @VEGAYUBERO @berta_fuertes @EmbEspIndia @IndiainSpain @lochan_sehra @TrashConLabs @AMCommissioner… https://t.co/KEVEvOS6uy,,
0,@GovernmentIndia देश की सौदा करने वाले \nदेश की आज्ज़ादी को क्या जाने \nजो देश की समाप्ति को बचाना सखे ओ देश की कीमत… https://t.co/tyIFHV7sIr,,
1,"RT @BhaveshSanwal02: What exactly the @GovernmentIndia is doing, what steps they have took to stop Hindu Genocide in Kashmir. What exactly…",,
1,Sooner or later in near future @GovernmentIndia might have to deploy army in Kerala. Kerala is heading kashmir way! @narendramodi,,
1,"What exactly the @GovernmentIndia is doing, what steps they have took to stop Hindu Genocide in Kashmir. What exact… https://t.co/OGABpcBhmb",,
